TOA5,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_30JULY2016.CR1,35202,HalfHour
TIMESTAMP,RECORD,DT,BP,Rain_mm_Tot,,,
TS,RN,m,hPa(mb),mm,,,
,,Smp,Smp,Tot,,,
16-07-31 18:30,443,1.497,922,0,,,
16-07-31 19:00,444,1.5,922,0,,,
16-07-31 19:30,445,1.5,922,0,,,
16-07-31 20:00,446,1.507,922,0,,,
16-07-31 20:30,447,1.51,922,0,,,
16-07-31 21:00,448,1.521,922,0,,,
16-07-31 21:30,449,1.52,923,0,,,
16-07-31 22:00,450,1.528,923,0,,,
16-07-31 22:30,451,1.525,923,0,,,
16-07-31 23:00,452,1.522,924,0,,,
16-07-31 23:30,453,1.529,925,0,,,
16-08-01 0:00,454,1.531,925,0,,,
16-08-01 0:30,455,1.528,925,0,,,
16-08-01 1:00,456,1.533,926,0,,,
16-08-01 1:30,457,1.532,926,0,,,
16-08-01 2:00,458,1.532,926,0,,,
16-08-01 2:30,459,1.532,927,0,,,
16-08-01 3:00,460,1.529,927,0,,,
16-08-01 3:30,461,1.53,927,0,,,
16-08-01 4:00,462,1.536,927,0,,,
16-08-01 4:30,463,1.533,927,0,,,
16-08-01 5:00,464,1.535,928,0,,,
16-08-01 5:30,465,1.53,928,0,,,
16-08-01 6:00,466,1.531,928,0,,,
16-08-01 6:30,467,1.531,928,0,,,
16-08-01 7:00,468,1.529,928,0,,,
16-08-01 7:30,469,1.528,928,0,,,
16-08-01 8:00,470,1.532,928,0,,,
16-08-01 8:30,471,1.533,928,0,,,
16-08-01 9:00,472,1.535,928,0,,,
16-08-01 9:30,473,1.528,928,0,,,
16-08-01 10:00,474,1.526,928,0,,,
16-08-01 10:30,475,1.526,928,0,,,
16-08-01 11:00,476,1.517,927,0,,,
16-08-01 11:30,477,1.513,927,0,,,
16-08-01 12:00,478,1.51,927,0,,,
16-08-01 12:30,479,1.502,927,0,,,
16-08-01 13:00,480,1.504,926,0,,,
16-08-01 13:30,481,1.505,926,0,,,
16-08-01 14:00,482,1.5,926,0,,,
16-08-01 14:30,483,1.506,926,0,,,
16-08-01 15:00,484,1.493,926,0,,,
16-08-01 15:30,485,1.487,925,0,,,
16-08-01 16:00,486,1.492,925,0,,,
16-08-01 16:30,487,1.499,925,0,,,
16-08-01 17:00,488,1.489,924,0,,,
16-08-01 17:30,489,1.494,924,0,,,
16-08-01 18:00,490,1.488,924,0,,,
16-08-01 18:30,491,1.49,924,0,,,
16-08-01 19:00,492,1.488,924,0,,,
16-08-01 19:30,493,1.499,924,0,,,
16-08-01 20:00,494,1.498,924,0,,,
16-08-01 20:30,495,1.501,924,0,,,
16-08-01 21:00,496,1.512,924,0,,,
16-08-01 21:30,497,1.507,924,0,,,
16-08-01 22:00,498,1.516,924,0,,,
16-08-01 22:30,499,1.523,925,0,,,
16-08-01 23:00,500,1.52,925,0,,,
16-08-01 23:30,501,1.527,925,0,,,
16-08-02 0:00,502,1.532,926,0,,,
16-08-02 0:30,503,1.536,926,0,,,
16-08-02 1:00,504,1.538,926,0,,,
16-08-02 1:30,505,1.543,926,0,,,
16-08-02 2:00,506,1.542,926,0,,,
16-08-02 2:30,507,1.536,926,0,,,
16-08-02 3:00,508,1.538,926,0,,,
16-08-02 3:30,509,1.536,927,0,,,
16-08-02 4:00,510,1.535,926,0,,,
16-08-02 4:30,511,1.538,927,0,,,
16-08-02 5:00,512,1.503,927,0,,,
16-08-02 5:30,513,1.538,927,0,,,
16-08-02 6:00,514,1.527,927,0,,,
16-08-02 6:30,515,1.54,927,0,,,
16-08-02 7:00,516,1.535,927,0,,,
16-08-02 7:30,517,1.536,927,0,,,
16-08-02 8:00,518,1.536,927,0,,,
16-08-02 8:30,519,1.534,927,0,,,
16-08-02 9:00,520,1.531,927,0,,,
16-08-02 9:30,521,1.528,927,0,,,
16-08-02 10:00,522,1.521,927,0,,,
16-08-02 10:30,523,1.515,927,0,,,
16-08-02 11:00,524,1.514,927,0,,,
16-08-02 11:30,525,1.507,926,0,,,
16-08-02 12:00,526,1.507,926,0,,,
