dtime,dtime,abs_pressure,temp_water,baro_pressure,water_level,end_elv,surf,melt_ice,bed_elv,ice_thick,wl_elv_flat,surf_flat,float_elv,lake_elv,float,sensr_elv_float,wl_elv_float,surf_float,wl_elv_gps1,surf_gps1,wl_elv_int,surf_int
2017-07-10 10:50:00,2017-07-10 10:50:00,226.701,0.01,,14.574000000000002,1606.88,1615.72,0.6660569079397021,1395.68,223.17294309206022,1621.4540000000002,1618.8529430920603,1598.767378213775,1598.9190172895849,True,1607.03163907581,1621.6056390758101,1619.0045821678702,1622.7416656385246,1620.1406087305847,1621.6056390758101,1619.0045821678702
2017-07-10 11:00:00,2017-07-10 11:00:00,226.733,0.01,83.8,14.577,1606.88,1615.72,0.6662326887447954,1395.68,223.17276731125526,1621.457,1618.8527673112553,1598.7672182532424,1598.9212227429573,True,1607.034004489715,1621.611004489715,1619.0067718009702,1622.7446995938183,1620.1404669050735,1621.611004489715,1619.0067718009702
2017-07-10 11:10:00,2017-07-10 11:10:00,226.733,0.01,,14.574000000000002,1606.88,1615.72,0.666372411948844,1395.68,223.172627588051,1621.4540000000002,1618.8526275880513,1598.7670911051264,1598.921068059323,True,1607.0339769541968,1621.6079769541968,1619.006604542248,1622.741706575674,1620.1403341637251,1621.6079769541968,1619.006604542248
2017-07-10 11:20:00,2017-07-10 11:20:00,226.733,0.01,,14.571,1606.88,1615.72,0.6665436855538068,1395.68,223.1724563144462,1621.451,1618.8524563144463,1598.7669352461462,1598.9207473244517,True,1607.0338120783056,1621.6048120783055,1619.0062683927517,1622.738736627157,1620.1401929416033,1621.6048120783055,1619.0062683927517
2017-07-10 11:30:00,2017-07-10 11:30:00,226.764,0.01,83.9,14.57,1606.88,1615.72,0.6667411009195272,1395.68,223.17225889908036,1621.45,1618.8522588990804,1598.7667555981632,1598.922214362617,True,1607.035458764454,1621.605458764454,1619.0077176635343,1622.7377799141943,1620.1400388132747,1621.605458764454,1619.0077176635343
2017-07-10 11:40:00,2017-07-10 11:40:00,226.764,0.01,,14.564,1606.88,1615.72,0.6669367134051952,1395.68,223.17206328659472,1621.4440000000002,1618.8520632865948,1598.7665775908013,1598.917729729174,True,1607.0311521383728,1621.595152138373,1619.0032154249675,1622.7318219975275,1620.139885284122,1621.595152138373,1619.0032154249675
2017-07-10 11:50:00,2017-07-10 11:50:00,226.733,0.01,,14.554,1606.88,1615.72,0.6671539604514901,1395.68,223.17184603954843,1621.4340000000002,1618.8518460395485,1598.766379895989,1598.9146174418916,True,1607.0282375459026,1621.5822375459027,1619.000083585451,1622.7218704928982,1620.1397165324465,1621.5822375459027,1619.000083585451
2017-07-10 12:00:00,2017-07-10 12:00:00,226.764,0.01,84.1,14.55,1606.88,1615.72,0.6673883348582815,1395.68,223.17161166514165,1621.43,1618.8516116651417,1598.766166615279,1598.9114439889318,True,1607.025277373653,1621.5752773736529,1618.9968890387945,1622.7179230160461,1620.1395346811878,1621.5752773736529,1618.9968890387945
2017-07-10 12:10:00,2017-07-10 12:10:00,226.764,0.01,,14.55,1606.88,1615.72,0.6676100891047071,1395.68,223.1713899108952,1621.43,1618.8513899108953,1598.7659648189147,1598.9150281915904,True,1607.0290633726759,1621.5790633726758,1619.000453283571,1622.7179164651204,1620.1393063760156,1621.5790633726758,1619.000453283571
2017-07-10 12:20:00,2017-07-10 12:20:00,226.764,0.01,,14.55,1606.88,1615.72,0.6678751124723863,1395.68,223.17112488752764,1621.43,1618.8511248875277,1598.7657236476502,1598.9177196217227,True,1607.0319959740725,1621.5819959740725,1619.0031208616,1622.717944682713,1620.1390695702407,1621.5819959740725,1619.0031208616
2017-07-10 12:30:00,2017-07-10 12:30:00,226.796,0.01,84.1,14.552999999999999,1606.88,1615.72,0.6681356286399351,1395.68,223.17086437136004,1621.4330000000002,1618.85086437136,1598.7654865779377,1598.920886717709,True,1607.0354001397714,1621.5884001397715,1619.0062645111313,1622.7209865114169,1620.1388508827768,1621.5884001397715,1619.0062645111313
2017-07-10 12:40:00,2017-07-10 12:40:00,226.796,0.01,,14.557,1606.88,1615.72,0.6684033563276929,1395.68,223.1705966436723,1621.4370000000001,1618.8505966436724,1598.7652429457419,1598.926592771192,True,1607.0413498254502,1621.5983498254502,1619.0119464691224,1622.7250153077132,1620.1386119513854,1621.5983498254502,1619.0119464691224
2017-07-10 12:50:00,2017-07-10 12:50:00,226.796,0.01,,14.56,1606.88,1615.72,0.6687116488166259,1395.68,223.17028835118322,1621.44,1618.8502883511835,1598.7649623995767,1598.933358176383,True,1607.0483957768063,1621.6083957768062,1619.0186841279897,1622.728000793824,1620.1382891450075,1621.6083957768062,1619.0186841279897
2017-07-10 13:00:00,2017-07-10 13:00:00,226.796,0.01,84.0,14.562999999999999,1606.88,1615.72,0.6690172369854807,1395.68,223.16998276301456,1621.4430000000002,1618.8499827630146,1598.7646843143434,1598.940814832183,True,1607.0561305178396,1621.6191305178397,1619.0261132808541,1622.7309779234538,1620.1379606864682,1621.6191305178397,1619.0261132808541
2017-07-10 13:10:00,2017-07-10 13:10:00,226.796,0.01,,14.57,1606.88,1615.72,0.6692939790734995,1395.68,223.16970602092647,1621.45,1618.8497060209265,1598.764432479043,1598.9522019892715,True,1607.0677695102286,1621.6377695102285,1619.037475531155,1622.737975348435,1620.1376813693614,1621.6377695102285,1619.037475531155
2017-07-10 13:20:00,2017-07-10 13:20:00,226.828,0.01,,14.58,1606.88,1615.72,0.6695806370018058,1395.68,223.16941936299804,1621.46,1618.8494193629983,1598.7641716203284,1598.9633690333737,True,1607.0791974130454,1621.6591974130454,1619.0486167760437,1622.7479681332577,1620.137387496256,1621.6591974130454,1619.0486167760437
2017-07-10 13:30:00,2017-07-10 13:30:00,226.764,0.01,83.8,14.581,1606.88,1615.72,0.669919578451627,1395.68,223.16908042154841,1621.461,1618.8490804215485,1598.7638631836091,1598.9745008165116,True,1607.0906376329026,1621.6716376329025,1619.059718054451,1622.74894098048,1620.1370214020285,1621.6716376329025,1619.059718054451
2017-07-10 13:40:00,2017-07-10 13:40:00,226.796,0.01,,14.597000000000001,1606.88,1615.72,0.6702062363799333,1395.68,223.16879376362,1621.477,1618.84879376362,1598.7636023248942,1598.9935288157358,True,1607.1099264908416,1621.7069264908416,1619.0787202544616,1622.7648982027022,1620.1366919663221,1621.7069264908416,1619.0787202544616
